Wine,Color,Aging Window (Years)
Port,Red,10–50
Merlot,Red,3–15
Malbec,Red,5–10
Sangiovese,Red,10–30
Monastrell,Red,7–20
Cabernet Franc,Red,5–12
Nebbiolo,Red,15–40
Syrah,Red,2–12
Cabernet Sauvignon,Red,5–25
Chardonnay,White,2–10
Riesling,White,0–5
Viognier,White,2–7
White Bordeaux,White,3–5
Semillon,White,1–5
Chenin Blanc,White,1–7
