country,province
United States,California
Spain,Northern Spain
United States,Oregon
France,Provence
Italy,Northeastern Italy
France,Southwest France
New Zealand,Kumeu
United States,Washington
Bulgaria,Bulgaria
Italy,Tuscany
France,France Other
Spain,Galicia
Spain,Andalucia
United States,Idaho
France,Rhône Valley
France,Loire Valley
United States,New York
Argentina,Mendoza Province
France,Burgundy
Italy,Piedmont
Portugal,Alentejo
France,Champagne
Israel,Upper Galilee
Portugal,Beira Atlantico
Italy,Veneto
Portugal,Douro
Portugal,Tejo
South Africa,Stellenbosch
Spain,Levante
Portugal,Alentejano
Italy,Sicily & Sardinia
France,Languedoc-Roussillon
Greece,Atalanti Valley
Spain,Catalonia
Greece,Florina
Chile,Marchigue
Chile,Colchagua Valley
Chile,Curicó Valley
Chile,Maule Valley
France,Alsace
Morocco,Guerrouane
Romania,Colinele Dobrogei
Spain,Central Spain
Portugal,Vinho Verde
France,Bordeaux
Germany,Mosel
Germany,Rheinhessen
Germany,Württemberg
Germany,Ahr
Canada,British Columbia
Moldova,Moldova
Spain,Spain Other
Hungary,Sopron
Argentina,Other
Portugal,Dão
Italy,Italy Other
Canada,Ontario
Portugal,Beiras
Portugal,Lisboa
Austria,Burgenland
Germany,Rheingau
Germany,Nahe
Australia,South Australia
Australia,Victoria
Croatia,North Dalmatia
Bulgaria,Thracian Valley
Slovenia,Goriska Brda
South Africa,Western Cape
South Africa,Overberg
South Africa,Robertson
Israel,Galilee
Chile,Cachapoal Valley
Portugal,Terras do Dão
Chile,Leyda Valley
Chile,Peumo
Germany,Baden
Italy,Lombardy
Greece,Peloponnese
Australia,Tasmania
Portugal,Bairrada
Portugal,Portuguese Table Wine
France,Beaujolais
Portugal,Península de Setúbal
Chile,Aconcagua Valley
United States,Virginia
Romania,Dealurile Munteniei
India,Nashik
Austria,Niederösterreich
New Zealand,Marlborough
New Zealand,Central Otago
Austria,Thermenregion
Portugal,Palmela
Portugal,Beira Interior
Portugal,Port
Chile,Casablanca Valley
Hungary,Tokaji
Germany,Franken
New Zealand,Martinborough
Austria,Wagram
Austria,Kamptal
South Africa,South Africa
