province,region_1
California,Napa Valley
Northern Spain,Toro
California,Knights Valley
Oregon,Willamette Valley
Provence,Bandol
Oregon,Chehalem Mountains
California,Sonoma Coast
Northeastern Italy,Collio
Oregon,Ribbon Ridge
Oregon,Dundee Hills
Southwest France,Madiran
California,Diamond Mountain District
Northern Spain,Ribera del Duero
Southwest France,Cahors
Northern Spain,Rioja
California,Edna Valley
California,Santa Cruz Mountains
Kumeu,Kumeu
California,Santa Lucia Highlands
Washington,Walla Walla Valley (WA)
Bulgaria,Bulgaria
California,Russian River Valley
Tuscany,Brunello di Montalcino
France Other,Vin Mousseux
Washington,Columbia Valley (WA)
Tuscany,Chianti Classico
Galicia,Ribeira Sacra
Andalucia,Jerez
Idaho,Idaho
Rhône Valley,Cornas
California,Mount Veeder
Loire Valley,Sancerre
Loire Valley,Coteaux du Giennois
Washington,Red Mountain
New York,Finger Lakes
Tuscany,Maremma Toscana
Mendoza Province,Mendoza
Burgundy,Chablis
California,Santa Clara Valley
Oregon,Eola-Amity Hills
California,Rutherford
California,St. Helena
Piedmont,Barolo
Alentejo,Alentejo
Champagne,Champagne
Upper Galilee,Upper Galilee
Piedmont,Roero
Beira Atlantico,Beira Atlantico
Veneto,Prosecco
California,Mendocino County
Douro,Douro
Southwest France,Buzet
Southwest France,Côtes de Gascogne
California,Paso Robles
Washington,Yakima Valley
Tejo,Tejo
Mendoza Province,Tupungato
California,Howell Mountain
New York,Hudson River Region
Stellenbosch,Stellenbosch
Mendoza Province,Valle de Uco
Levante,Jumilla
Southwest France,Southwest France
Alentejano,Alentejano
California,Anderson Valley
California,Santa Maria Valley
California,Amador County
Sicily & Sardinia,Etna
California,Adelaida District
California,California
Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup
Atalanti Valley,Atalanti Valley
Catalonia,Cava
Florina,Florina
Marchigue,Marchigue
Colchagua Valley,Colchagua Valley
California,Happy Canyon of Santa Barbara
Tuscany,Toscana
California,Livermore Valley
Curicó Valley,Curicó Valley
Rhône Valley,Côtes du Rhône
Maule Valley,Maule Valley
Mendoza Province,Luján de Cuyo
Northern Spain,Valdeorras
Catalonia,Montsant
Washington,Wahluke Slope
Piedmont,Barbaresco
California,Rockpile
Alsace,Alsace
Guerrouane,Guerrouane
California,Fort Ross-Seaview
California,Santa Barbara County
Washington,Horse Heaven Hills
Oregon,McMinnville
Colinele Dobrogei,Colinele Dobrogei
California,Central Coast
California,Carneros
Northern Spain,Cigales
Central Spain,La Mancha
Loire Valley,Crémant de Loire
Mendoza Province,Agrelo
Burgundy,Beaune
Burgundy,Chassagne-Montrachet
California,Coombsville
Northeastern Italy,Alto Adige
Vinho Verde,Vinho Verde
Veneto,Soave Classico
Bordeaux,Graves
California,Monterey County
Burgundy,Santenay
Southwest France,Côtes du Tarn
Burgundy,Pouilly-Fuissé
Southwest France,Jurançon Sec
California,Clear Lake
Veneto,Amarone della Valpolicella Classico
Provence,Côtes de Provence
Mosel,Mosel
Galicia,Rías Baixas
California,Paso Robles Willow Creek District
Rheinhessen,Rheinhessen
Oregon,Umpqua Valley
Württemberg,Württemberg
Burgundy,Pommard
Sicily & Sardinia,Sicilia
Sicily & Sardinia,Terre Siciliane
Ahr,Ahr
California,Dry Creek Valley
British Columbia,Okanagan Valley
Moldova,Moldova
California,Santa Ynez Valley
Rhône Valley,Côtes du Rhône Villages
Rhône Valley,Châteauneuf-du-Pape
California,Alexander Valley
Spain Other,Spain
Sopron,Sopron
California,Sonoma Valley
Bordeaux,Médoc
California,Lodi
Tuscany,Bolgheri
Andalucia,Manzanilla-Sanlúcar de Barrameda
Veneto,Soave
Other,San Juan
Dão,Dão
California,South Coast
Southwest France,Gaillac
Italy Other,Vino Spumante
California,Carmel Valley
Southwest France,Fronton
California,Green Valley
Ontario,Beamsville Bench
Beiras,Beiras
Washington,Columbia Gorge (WA)
California,Sta. Rita Hills
Lisboa,Lisboa
California,Sierra Foothills
Burgundy,Marsannay
Sicily & Sardinia,Noto
Sicily & Sardinia,Vittoria
Burgenland,Burgenland
California,Ben Lomond Mountain
Rheingau,Rheingau
Nahe,Nahe
Northeastern Italy,Vigneti delle Dolomiti
California,Arroyo Seco
Burgundy,Côtes de Nuits Villages
South Australia,Adelaide Hills
Piedmont,Barbera d'Asti Superiore
California,Oak Knoll District
Piedmont,Barbera d'Alba
Oregon,Rogue Valley
Oregon,Oregon
Victoria,Yarra Valley
Loire Valley,Pouilly-Fumé
California,Arroyo Grande Valley
North Dalmatia,North Dalmatia
California,Carneros-Napa Valley
Central Spain,Vino de la Tierra de Castilla
California,Moon Mountain District Sonoma County
Thracian Valley,Thracian Valley
Goriska Brda,Goriska Brda
Other,Argentina
Western Cape,Western Cape
Southwest France,Bergerac Rosé
Southwest France,Côtes du Lot
Overberg,Overberg
Robertson,Robertson
Galilee,Galilee
Catalonia,Priorat
Cachapoal Valley,Cachapoal Valley
Terras do Dão,Terras do Dão
Leyda Valley,Leyda Valley
Bordeaux,Pessac-Léognan
Bordeaux,Bordeaux Supérieur
California,Calistoga
Bordeaux,Bordeaux
South Australia,McLaren Vale
Peumo,Peumo
New York,North Fork of Long Island
California,Lake County
Loire Valley,Cour-Cheverny
Burgundy,Aloxe-Corton
Tuscany,Vino Nobile di Montepulciano
Piedmont,Alta Langa
Italy Other,Vino da Tavola
Piedmont,Langhe
Provence,Côtes de Provence Sainte-Victoire
Provence,Côtes de Provence La Londe
Catalonia,Penedès
Baden,Baden
Lombardy,Valtellina Superiore
California,Oakville
Peloponnese,Peloponnese
California,Mendocino
Tasmania,Tasmania
Bairrada,Bairrada
Southwest France,Côtes de Bergerac
Portuguese Table Wine,Portuguese Table Wine
Northeastern Italy,Venezia Giulia
Beaujolais,Morgon
Península de Setúbal,Península de Setúbal
Lombardy,Lugana
Aconcagua Valley,Aconcagua Valley
California,Sonoma Mountain
Virginia,Virginia
Other,Cafayate
Other,Alto Valle del Río Negro
Dealurile Munteniei,Dealurile Munteniei
Washington,Naches Heights
New York,Long Island
California,Sonoma County
Burgundy,Mercurey
California,San Luis Obispo County
Nashik,Nashik
Burgundy,Saint-Aubin
California,Spring Mountain District
Niederösterreich,Niederösterreich
Marlborough,Marlborough
Central Otago,Central Otago
Thermenregion,Thermenregion
Burgundy,Puligny-Montrachet
Palmela,Palmela
Bordeaux,Margaux
Northern Spain,Navarra
New York,Cayuga Lake
Rhône Valley,Collines Rhôdaniennes
New York,New York
Veneto,Veronese
Beira Interior,Beira Interior
Washington,Washington
Catalonia,Terra Alta
Tuscany,Bolgheri Superiore
Northern Spain,Campo de Borja
Southwest France,Côtes du Marmandais
Southwest France,Jurançon
Lombardy,Terrazze Retiche di Sondrio
Port,Port
Casablanca Valley,Casablanca Valley
Oregon,Applegate Valley
Burgundy,Gevrey-Chambertin
Bordeaux,Saint-Émilion
Burgundy,Volnay
Central Spain,Valdepeñas
Mendoza Province,Uco Valley
Loire Valley,Muscadet Sèvre et Maine
Tokaji,Tokaji
California,Shenandoah Valley (CA)
California,Temecula Valley
Franken,Franken
California,Mendocino Ridge
Burgundy,Bourgogne Hautes Côtes de Beaune
California,Ballard Canyon
France Other,Vin de France
Andalucia,Vino de la Tierra de Cádiz
Southwest France,Monbazillac
Southwest France,Montravel
Northern Spain,Bierzo
Martinborough,Martinborough
Southwest France,Pacherenc du Vic Bilh
Wagram,Wagram
Kamptal,Kamptal
Other,La Rioja
South Africa,South Africa
Washington,Snipes Mountain
California,Calaveras County
Rapel Valley,Rapel Valley
Bordeaux,Sauternes
California,Mt. Harlan
Bordeaux,Fronsac
Maipo Valley,Maipo Valley
Southwest France,Bergerac Sec
Hvar,Hvar
Loire Valley,Vouvray
California,El Dorado
Bordeaux,Bordeaux Rosé
Burgundy,Savigny-lès-Beaune
Southern Italy,Taurasi
Carnuntum,Carnuntum
Judean Hills,Judean Hills
Piedmont,Coste della Sesia
Bordeaux,Cadillac Côtes de Bordeaux
Bordeaux,Blaye Côtes de Bordeaux
Washington,Lake Chelan
Elqui Valley,Elqui Valley
Beaujolais,Brouilly
California,Yountville
Rhône Valley,Costières de Nîmes
San Antonio,San Antonio
Loire Valley,Chinon
Pfalz,Pfalz
South Australia,Barossa Valley
Victoria,Nagambie Lakes
Southwest France,Saint-Mont
California,Chalone
Eisenberg,Eisenberg
Southern Italy,Aglianico del Vulture
Oregon,Columbia Gorge (OR)
Oregon,Elkton Oregon
Istria,Istria
Ankara,Ankara
California,Mendocino-Lake
Štajerska,Štajerska
California,Paicines
Moscatel de Setúbal,Moscatel de Setúbal
California,Pine Mountain-Cloverdale Peak
Northern Spain,Somontano
California,Cienega Valley
California,Yorkville Highlands
Catalonia,Conca de Barberà
California,Dunnigan Hills
Loire Valley,Châteaumeillant
Loire Valley,Saumur
Bordeaux,Côtes de Bourg
California,Clements Hills
California,North Coast
Washington,Rattlesnake Hills
Moscatel do Douro,Moscatel do Douro
Samson,Samson
Wachau,Wachau
California,Sonoma-Napa
Southern Italy,Campania
California,Atlas Peak
Burgundy,Crémant de Bourgogne
France Other,Mediterranée
Southern Italy,Sannio
Southern Italy,Falanghina del Sannio
Tikves,Tikves
Lebanon,Lebanon
California,Marin County
Ontario,Niagara Peninsula
California,Yolo County
California,Bennett Valley
